Common Name,Category,Botanical Name,Land Type,Land Type Width (m),Water Requirement,Sunlight Requirement,Climate,Soil Type,Carbon Sequestration (CO2/year),Pollution Filtration,Maintenance,Height (m),Fruit ,Flower
Checkered Hibiscus,Shrub,Hibiscus radiatus,"Home Gardens, Public Parks",0.5 - 1.5,Moderate Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,1.5,2.55,Moderate,2,N/A,Yes
Jungle Geranium,Shrub,Ixora coccinea,"Medians & Dividers, Home Gardens",0.5 - 1.0,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical  ",Loamy Soils,1,2.4,Moderate,1.5,Edible,Yes
Bougainvillea,Shrub,Bougainvillea glabra,"Medians & Dividers, Home Gardens, Mall & Shopping Center Landscape, Vacant Lands Converted to Green Spaces",2.0 - 3.0,"Little Water, Moderate Water",Full Sun,Tropical,"Sandy Soils, Loamy Soils",4,3.1,Low,4,Not Edible,Yes
Oleander,Shrub,Nerium oleander,"Medians & Dividers, Industrial Green Belts",2.0 - 4.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Sandy Soils, Loamy Soils",2.5,2.6,Low,6,Not Edible,Yes
Egyptian star-cluster,Shrub,Pentas lanceolata,"Home Gardens, Botanical Gardens",0.5 - 1.0,Moderate Water,"Full Sun, Semi-Shade",Tropical,Loamy Soils,0.8,2.45,Moderate,0.5,N/A,Yes
Arabian Jasmine,Shrub,Jasminum sambac,"Home Gardens, Hospital Gardens",1.0 - 1.5,Moderate Water,Full Sun,Tropical,Loamy Soils,1.5,1.8,Low,3,N/A,Yes
Cape Jasmine,Shrub,Gardenia jasminoides,"Home Gardens, Sidewalk/Footpath Trees",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,2,2.1,Moderate,2,Edible,Yes
Lantana,Shrub,Lantana camara,"Medians & Dividers, Vacant Lands Converted to Green Spaces",1.0 - 2.0 ,Moderate Water,Full Sun,Tropical,"Sandy Soils, Loamy Soils",2,2.45,Moderate,2,Not Edible,Yes
Aloe ,Shrub,Aloe vera,"Home Gardens, Community Gardens",0.3 - 0.5,Little Water,Full Sun,"Arid, Semi-Arid",Sandy Soils  ,0.7,1.6,Low,1,Not Edible,Yes
Holy Basil,Shrub,Ocimum tenuiflorum,"Home Gardens, School & College Campuses, Hospital Gardens",0.2 - 0.5,Moderate Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,0.4,2.18,Low,1,Edible,Yes
Indian Ginseng,Shrub,Withania somnifera,"Home Gardens, Community Gardens",0.5 - 1.0,Little Water,Full Sun,Semi-Arid,"Sandy Soils, Loamy Soils",0.5,2.1,Low,1,N/A,Yes
Indian Gooseberry,Large Tree,Phyllanthus emblica,"Home Gardens, Urban Forest",2.0 - 3.5,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Loamy Soils, Clayey Soils",15,2.55,Low,8,Edible,Yes
Henna Tree,Shrub,Lawsonia inermis,"Home Gardens, Community Gardens",1.0 - 2.0,Little Water,Full Sun,"Tropical, Sub-Tropical","Sandy Soils, Loamy Soils",3,3.6,Moderate,6,Not Edible,Yes
Garden Croton,Shrub,Codiaeum variegatum,"Medians & Dividers, Mall & Shopping Center Landscape",1.0 - 1.5,Moderate Water,Full Sun,Tropical,Loamy Soils,1.2,2.55,Moderate,3,Not Edible,Yes
Coleus,Shrub,Plectranthus scutellarioides,"Home Gardens, Botanical Gardens",0.5 - 1.0,Lots of Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical",Loamy Soils,0.6,1.8,Low,1,Not Edible,Yes
Peacock Flower,"Shrub, Small Tree",Caesalpinia pulcherrima,"Public Parks, Botanical Gardens",3.0 - 5.0,Moderate Water,Full Sun,Tropical,"Sandy Soils, Loamy Soils",1.5,2.3,Moderate,5,Not Edible,Yes
Bird of Paradise,Shrub,Strelitzia reginae,"Botanical Gardens, Office Complexes",1.0 - 1.5,Moderate Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical",Loamy Soils,2,2.15,Moderate,2,N/A,Yes
Torch Ginger,Shrub,Etlingera elatior,"Botanical Gardens, Public Parks",1.0 - 2.0,Lots of Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical ",Loamy Soils,2.2,1.85,High,4,Edible,Yes
Indian Boxwood,"Shrub, Small Tree",Murraya paniculata,"Medians & Dividers, Home Gardens",2.0 - 3.0,Moderate Water,Semi-Shade  ,"Tropical, Sub-Tropical ",Loamy Soils,1.8,2.15,Moderate,4,Not Edible,Yes
White Sky Flower,Shrub,Duranta erecta,"Industrial Green Belts, Urban Forest",1.0 - 2.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,2,2.3,Moderate,3,Not Edible,Yes
Copper Leaf,Shrub,Acalypha wilkesiana,"Medians & Dividers, Mall & Shopping Center Landscape",1.0 - 1.5,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,1.2,2.55,Moderate,3,Not Edible,Yes
Fraser Photinia,Shrub,Photinia × fraseri,"Medians & Dividers, Home Gardens",1.0 - 2.0,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,3.5,2.65,Moderate,5,Not Edible,Yes
Bottlebrush Tree,Shrub,Callistemon citrinus,"Avenue Plantation, Office Complexes",2.0 - 3.0,Moderate Water,Full Sun,Sub-Tropical ,Loamy Soils,12,3,Low,7,N/A,Yes
Frangipani,"Shrub, Small Tree",Plumeria rubra,"Public Parks, Botanical Gardens, Home Gardens, Hospital Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,"Sandy Soils, Loamy Soils",6,2.8,Low,8,Not Edible,Yes
Golden Bells,Shrub,Tecoma stans,"Avenue Plantation, Office Complexes",2.0 - 3.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,10,3.2,Moderate,3,Not Edible,Yes
Century Plant,Shrub,Agave americana,"Botanical Gardens, Public Parks",1.0 - 1.5,Little Water,Full Sun,Arid,Sandy Soils  ,2.5,1.65,Low,2,Not Edible,Yes
Common Bamboo,Shrub,Bambusa vulgaris,"Riparian Buffer, Public Parks, Office Complexes, Urban Forest",3.0 - 5.0,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical",Loamy Soils,35,2.7,Low,15,Edible,Yes
Golden Shower Tree,"Small Tree, Medium Tree",Cassia fistula,"Avenue Plantation, Public Parks",5.0 - 7.0,Moderate Water,Full Sun,Tropical,Loamy Soils,22,3.7,Low,10,Not Edible,Yes
Latherleaf,Shrub,Colubrina asiatica,"Riparian Buffer, Urban Forest",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,1,2.2,Moderate,4,Not Edible,Yes
Chitalpa,Shrub,Chitalpa tashkentensis,"Avenue Plantation, Public Parks",2.0 - 3.0,Little Water ,Full Sun  ,"Arid, Semi-Arid",Loamy Soils,8,3.15,Moderate,10,N/A,Yes
Clivia,Shrub,Clivia miniata,"Botanical Gardens, Home Gardens",0.5 - 1.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical",Loamy Soils,0.5,1.44,Moderate,0.6,N/A,Yes
Cordyline,Shrub,Cordyline australis,"Mall & Shopping Center Landscape, Home Gardens",1.0 - 1.5,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,1,1.85,Moderate,4,Not Edible,Yes
Cotoneaster,Shrub,Cotoneaster spp.,"Medians & Dividers, Home Gardens",1.0 - 2.0,Moderate Water,Full Sun,Sub-Tropical,Loamy Soils,1.5,2.05,Moderate,3,Not Edible,Yes
False Heather,Shrub,Cuphea hyssopifolia,"Medians & Dividers, Home Gardens",0.5 - 1.0,Moderate Water,Full Sun,Tropical,Loamy Soils,0.3,1.7,Moderate,0.5,Not Edible,Yes
Cytisus ,Shrub,Cytisus scoparius,"Medians & Dividers, Vacant Lands Converted to Green Spaces",1.0 - 2.0,Moderate Water,Full Sun  ,Arid ,"Sandy Soils, Loamy Soils",1.2,1.9,Low,3,Not Edible,Yes
Daphne,Shrub,Daphne odora,"Home Gardens, Botanical Gardens",0.5 - 1.0,Moderate Water,Semi-Shade,Sub-Tropical ,Loamy Soils,0.8,1.65,High,1.5,Not Edible,Yes
Datura,Shrub,Datura stramonium,"Vacant Lands Converted to Green Spaces, Industrial Green Belts",1.0 - 1.5,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical ",Loamy Soils,0.6,1.45,Moderate,2,Not Edible,Yes
